"Date","Price","Open","High","Low","Vol.","Change %"
"03.02.1985","1.289,97","1.278,05","1.296,71","1.271,75","59,48M","0,96%"
"27.01.1985","1.277,72","1.275,73","1.300,02","1.269,10","-","0,13%"
"20.01.1985","1.276,06","1.226,37","1.282,80","1.226,37","-","3,97%"
"13.01.1985","1.227,36","1.217,65","1.239,73","1.213,23","-","0,76%"
"06.01.1985","1.218,09","1.185,18","1.226,26","1.185,18","-","2,80%"
"30.12.1984","1.184,96","1.203,73","1.211,68","1.180,99","-","-1,60%"
"23.12.1984","1.204,17","1.199,98","1.211,79","1.199,54","-","0,43%"
"16.12.1984","1.198,98","1.176,90","1.220,19","1.167,18","-","1,96%"
"09.12.1984","1.175,91","1.165,74","1.184,74","1.157,46","-","1,09%"
"02.12.1984","1.163,21","1.189,16","1.189,71","1.162,77","-","-2,16%"
"25.11.1984","1.188,94","1.220,19","1.222,84","1.185,84","-","-2,57%"
"18.11.1984","1.220,30","1.193,12","1.220,41","1.184,19","-","2,72%"
"11.11.1984","1.187,94","1.218,31","1.219,63","1.187,94","-","-2,55%"
"04.11.1984","1.218,97","1.216,54","1.244,14","1.216,54","-","0,19%"
"28.10.1984","1.216,65","1.204,84","1.222,06","1.199,76","-","0,97%"
"21.10.1984","1.204,95","1.224,82","1.226,92","1.201,41","-","-1,71%"
"14.10.1984","1.225,93","1.190,59","1.237,96","1.188,94","-","2,96%"
"07.10.1984","1.190,70","1.183,30","1.195,89","1.161,44","-","0,69%"
"30.09.1984","1.182,53","1.206,71","1.206,71","1.180,21","-","-2,00%"
"23.09.1984","1.206,71","1.201,74","1.220,85","1.198,98","-","0,41%"
"16.09.1984","1.201,74","1.237,85","1.240,95","1.201,41","-","-2,89%"
"09.09.1984","1.237,52","1.207,49","1.244,15","1.195,01","-","2,50%"
"02.09.1984","1.207,38","1.224,27","1.224,49","1.204,40","-","-1,39%"
"26.08.1984","1.224,38","1.236,42","1.238,30","1.216,43","-","-0,98%"
"19.08.1984","1.236,53","1.211,35","1.247,13","1.208,48","-","2,03%"
"12.08.1984","1.211,90","1.218,09","1.226,26","1.198,32","-","-0,51%"
"05.08.1984","1.218,09","1.201,74","1.248,01","1.189,05","-","1,33%"
"29.07.1984","1.202,08","1.114,07","1.203,62","1.108,99","-","7,85%"
"22.07.1984","1.114,62","1.090,11","1.118,71","1.082,16","-","1,20%"
"15.07.1984","1.101,37","1.110,20","1.124,45","1.096,07","-","-0,77%"
"08.07.1984","1.109,87","1.122,02","1.135,38","1.101,04","-","-1,13%"
"01.07.1984","1.122,57","1.132,18","1.136,15","1.113,74","-","-0,87%"
"24.06.1984","1.132,40","1.130,96","1.140,24","1.113,07","-","0,12%"
"17.06.1984","1.131,07","1.082,82","1.137,59","1.082,05","-","4,06%"
"10.06.1984","1.086,90","1.130,63","1.130,63","1.086,90","-","-3,92%"
"03.06.1984","1.131,25","1.124,68","1.139,12","1.121,01","-","0,61%"
"27.05.1984","1.124,35","1.106,68","1.124,35","1.086,85","-","1,56%"
"20.05.1984","1.107,10","1.134,53","1.135,99","1.099,14","-","-2,35%"
"13.05.1984","1.133,79","1.156,93","1.156,93","1.128,98","-","-2,02%"
"06.05.1984","1.157,14","1.165,20","1.177,76","1.148,14","-","-0,70%"
"29.04.1984","1.165,31","1.169,49","1.188,23","1.161,96","-","-0,32%"
"22.04.1984","1.169,07","1.157,35","1.177,76","1.148,24","-","0,95%"
"15.04.1984","1.158,08","1.150,44","1.171,80","1.142,90","-","0,69%"
"08.04.1984","1.150,13","1.131,07","1.168,76","1.124,16","-","1,58%"
"01.04.1984","1.132,22","1.165,20","1.171,06","1.120,39","-","-2,80%"
"25.03.1984","1.164,89","1.154,84","1.179,54","1.149,50","-","0,87%"
"18.03.1984","1.154,84","1.184,67","1.184,67","1.148,14","-","-2,49%"
"11.03.1984","1.184,36","1.141,12","1.191,48","1.140,60","-","3,91%"
"04.03.1984","1.139,76","1.172,01","1.172,11","1.136,10","-","-2,71%"
"26.02.1984","1.171,48","1.163,94","1.181,74","1.150,86","-","0,55%"
"19.02.1984","1.165,10","1.149,39","1.165,09","1.117,88","-","1,41%"
"12.02.1984","1.148,87","1.159,97","1.170,02","1.143,01","-","-1,02%"
"05.02.1984","1.160,70","1.197,03","1.197,03","1.144,89","-","-3,04%"
"29.01.1984","1.197,03","1.230,42","1.234,92","1.197,02","-","-2,68%"
"22.01.1984","1.230,00","1.258,58","1.258,58","1.222,26","-","-2,31%"
"15.01.1984","1.259,11","1.271,14","1.275,44","1.256,70","-","-0,87%"
"08.01.1984","1.270,10","1.286,48","1.291,87","1.267,68","-","-1,29%"
"01.01.1984","1.286,64","1.257,72","1.286,99","1.250,81","-","2,22%"
"25.12.1983","1.258,64","1.250,51","1.268,70","1.250,51","-","0,65%"
"18.12.1983","1.250,51","1.241,97","1.259,55","1.238,92","-","0,67%"
"11.12.1983","1.242,17","1.256,50","1.262,50","1.236,38","-","-1,42%"
"04.12.1983","1.260,06","1.265,04","1.279,37","1.255,69","-","-0,41%"
"27.11.1983","1.265,24","1.276,93","1.291,67","1.262,80","-","-0,96%"
"20.11.1983","1.277,44","1.251,32","1.279,67","1.250,20","-","2,11%"
"13.11.1983","1.251,02","1.250,30","1.261,28","1.245,73","-","0,07%"
"06.11.1983","1.250,20","1.218,09","1.250,30","1.213,21","-","2,62%"
"30.10.1983","1.218,29","1.224,39","1.239,33","1.214,43","-","-0,42%"
"23.10.1983","1.223,48","1.247,97","1.258,33","1.221,44","-","-2,03%"
"16.10.1983","1.248,88","1.265,04","1.274,29","1.235,87","-","-1,16%"
"09.10.1983","1.263,52","1.272,26","1.284,65","1.254,27","-","-0,68%"
"02.10.1983","1.272,15","1.232,42","1.274,49","1.222,46","-","3,16%"
"25.09.1983","1.233,13","1.256,91","1.264,74","1.228,96","-","-1,79%"
"18.09.1983","1.255,59","1.225,71","1.261,48","1.225,10","-","2,44%"
"11.09.1983","1.225,71","1.244,61","1.259,55","1.214,74","-","-1,13%"
"04.09.1983","1.239,74","1.216,36","1.249,80","1.216,36","-","2,00%"
"28.08.1983","1.215,45","1.192,07","1.216,87","1.182,01","-","1,96%"
"21.08.1983","1.192,07","1.194,92","1.208,84","1.176,52","-","-0,18%"
"14.08.1983","1.194,21","1.183,64","1.215,44","1.183,64","-","0,96%"
"07.08.1983","1.182,83","1.183,29","1.184,04","1.156,45","-","-0,04%"
"31.07.1983","1.183,29","1.199,82","1.199,92","1.169,47","-","-1,33%"
"24.07.1983","1.199,22","1.230,97","1.252,90","1.192,81","-","-2,60%"
"17.07.1983","1.231,17","1.192,91","1.231,97","1.183,79","-","3,26%"
"10.07.1983","1.192,31","1.208,63","1.216,35","1.189,70","-","-1,24%"
"03.07.1983","1.207,23","1.224,76","1.224,76","1.204,13","-","-1,47%"
"26.06.1983","1.225,26","1.241,69","1.243,99","1.205,63","-","-1,32%"
"19.06.1983","1.241,69","1.241,69","1.251,20","1.232,37","-","-0,04%"
"12.06.1983","1.242,19","1.197,72","1.250,70","1.197,72","-","3,85%"
"05.06.1983","1.196,11","1.212,94","1.217,45","1.180,89","-","-1,40%"
"29.05.1983","1.213,04","1.215,85","1.217,35","1.191,27","-","-0,25%"
"22.05.1983","1.216,14","1.188,47","1.231,91","1.176,86","-","2,19%"
"15.05.1983","1.190,02","1.218,17","1.220,59","1.184,21","-","-2,36%"
"08.05.1983","1.218,75","1.233,17","1.235,58","1.208,69","-","-1,12%"
"01.05.1983","1.232,59","1.226,01","1.240,52","1.193,89","-","0,52%"
"24.04.1983","1.226,20","1.196,69","1.228,04","1.180,92","-","2,50%"
"17.04.1983","1.196,30","1.171,73","1.198,14","1.169,41","-","2,13%"
"10.04.1983","1.171,34","1.124,90","1.171,25","1.124,90","-","4,15%"
"03.04.1983","1.124,71","1.129,84","1.133,61","1.104,68","-","-0,47%"
"27.03.1983","1.130,03","1.140,48","1.152,09","1.128,77","-","-0,88%"
"20.03.1983","1.140,09","1.116,78","1.149,48","1.112,62","-","2,00%"
"13.03.1983","1.117,74","1.116,58","1.130,99","1.108,55","-","0,00%"
"06.03.1983","1.117,74","1.140,77","1.144,25","1.111,84","-","-2,04%"
"27.02.1983","1.140,96","1.121,71","1.145,22","1.111,55","-","1,79%"
"20.02.1983","1.120,94","1.092,21","1.130,51","1.080,39","-","2,57%"
"13.02.1983","1.092,82","1.085,84","1.101,93","1.078,96","-","0,58%"
"06.02.1983","1.086,50","1.077,26","1.096,30","1.061,90","-","0,80%"
"30.01.1983","1.077,91","1.063,73","1.078,45","1.051,78","-","1,24%"
"23.01.1983","1.064,75","1.053,15","1.075,14","1.020,23","-","1,12%"
"16.01.1983","1.052,98","1.084,25","1.093,26","1.049,30","-","-2,58%"
"09.01.1983","1.080,85","1.074,60","1.100,07","1.068,61","-","0,44%"
"02.01.1983","1.076,07","1.048,92","1.085,17","1.023,54","-","2,82%"
"26.12.1982","1.046,54","1.049,20","1.074,32","1.044,79","-","0,14%"
"19.12.1982","1.045,07","1.013,52","1.046,08","1.003,21","-","3,32%"
"12.12.1982","1.011,50","1.020,14","1.044,88","988,59","-","-0,71%"
"05.12.1982","1.018,76","1.033,02","1.066,50","1.016,09","-","-1,22%"
"28.11.1982","1.031,36","1.009,46","1.050,49","996,59","-","2,38%"
"21.11.1982","1.007,36","1.021,80","1.024,19","990,98","-","-1,36%"
"14.11.1982","1.021,25","1.028,14","1.037,34","999,35","-","-1,80%"
"07.11.1982","1.039,92","1.052,52","1.072,01","1.034,77","-","-1,13%"
"31.10.1982","1.051,78","990,80","1.068,98","983,71","-","6,06%"
"24.10.1982","991,72","1.030,35","1.030,35","979,76","-","-3,85%"
"17.10.1982","1.031,46","993,09","1.046,08","991,63","-","3,86%"
"10.10.1982","993,10","991,55","1.033,56","981,88","-","0,63%"
"03.10.1982","986,85","907,73","992,92","892,02","-","8,72%"
"26.09.1982","907,74","919,52","930,73","891,28","-","-1,28%"
"19.09.1982","919,52","916,94","951,16","904,70","-","0,28%"
"12.09.1982","916,94","906,81","938,47","898,36","-","1,12%"
"05.09.1982","906,82","925,13","928,34","897,08","-","-1,98%"
"29.08.1982","925,13","883,47","940,48","872,42","-","4,72%"
"22.08.1982","883,47","869,30","908,95","861,69","-","1,63%"
"15.08.1982","869,29","788,53","871,19","788,53","-","10,31%"
"08.08.1982","788,05","784,34","790,63","769,98","-","0,47%"
"01.08.1982","784,34","808,59","831,44","781,77","-","-3,00%"
"25.07.1982","808,60","830,56","833,23","801,45","-","-2,65%"
"18.07.1982","830,57","828,67","843,80","820,02","-","0,23%"
"11.07.1982","828,67","814,69","837,33","814,69","-","1,79%"
"04.07.1982","814,12","796,98","818,59","787,39","-","2,15%"
"27.06.1982","796,99","803,08","821,63","792,52","-","-0,76%"
"20.06.1982","803,08","788,63","821,63","784,25","-","1,83%"
"13.06.1982","788,62","809,73","810,22","784,53","-","-2,61%"
"06.06.1982","809,74","804,98","815,92","789,77","-","0,59%"
"30.05.1982","804,98","819,55","824,30","802,42","-","-1,78%"
"23.05.1982","819,54","835,91","845,31","815,55","-","-1,96%"
"16.05.1982","835,90","857,20","857,20","827,63","-","-2,55%"
"09.05.1982","857,78","869,20","874,52","853,88","-","-1,31%"
"02.05.1982","869,20","848,36","876,52","837,52","-","2,46%"
"25.04.1982","848,36","862,16","871,19","840,09","-","-1,60%"
"18.04.1982","862,16","843,42","865,39","835,81","-","2,22%"
"11.04.1982","843,42","842,94","848,36","831,91","-","0,06%"
"04.04.1982","842,94","838,56","847,52","827,91","-","0,52%"
"28.03.1982","838,57","817,92","843,23","813,17","-","2,52%"
"21.03.1982","817,92","805,66","833,70","804,80","-","1,52%"
"14.03.1982","805,65","797,38","811,64","789,38","-","1,04%"
"07.03.1982","797,37","807,36","819,81","786,16","-","-1,24%"
"28.02.1982","807,36","824,39","840,66","799,28","-","-2,07%"
"21.02.1982","824,39","824,30","837,42","802,23","-","0,01%"
"14.02.1982","824,30","833,81","836,95","817,27","-","-1,14%"
"07.02.1982","833,81","849,70","849,70","824,11","-","-2,02%"
"31.01.1982","851,03","866,34","866,34","835,70","-","-2,30%"
"24.01.1982","871,10","845,03","876,70","832,56","-","3,09%"
"17.01.1982","845,03","847,59","861,97","838,47","-","-0,30%"
"10.01.1982","847,60","866,53","872,44","834,09","-","-2,18%"
"03.01.1982","866,53","875,00","887,38","851,22","-","-0,97%"
"27.12.1981","875,00","873,38","880,33","864,44","-","0,19%"
"20.12.1981","873,38","875,77","879,56","865,39","-","-0,27%"
"13.12.1981","875,76","882,52","882,52","862,81","-","-1,21%"
"06.12.1981","886,51","892,69","897,73","875,30","-","-0,69%"
"29.11.1981","892,69","885,94","898,50","875,86","-","0,76%"
"22.11.1981","885,94","852,94","890,89","848,17","-","3,87%"
"15.11.1981","852,93","853,80","858,16","834,57","-","-0,34%"
"08.11.1981","855,88","852,45","869,02","844,66","-","0,40%"
"01.11.1981","852,45","855,97","876,05","847,89","-","-0,01%"
"25.10.1981","852,55","837,98","854,83","823,63","-","1,74%"
"18.10.1981","837,99","851,69","861,97","833,14","-","-1,61%"
"11.10.1981","851,69","873,00","877,77","845,61","-","-2,44%"
"04.10.1981","873,00","860,73","885,84","848,73","-","1,43%"
"27.09.1981","860,73","824,02","866,34","807,45","-","4,46%"
"20.09.1981","824,01","836,19","855,41","815,53","-","-1,46%"
"13.09.1981","836,19","872,81","876,24","829,44","-","-4,20%"
"06.09.1981","872,81","861,69","875,48","843,13","-","1,29%"
"30.08.1981","861,68","892,22","900,88","856,16","-","-3,42%"
"23.08.1981","892,22","917,44","917,44","883,66","-","-3,08%"
"16.08.1981","920,57","936,94","939,41","916,38","-","-1,75%"
"09.08.1981","936,93","942,55","955,86","933,80","-","-0,60%"
"02.08.1981","942,54","952,34","961,47","937,41","-","-1,03%"
"26.07.1981","952,34","937,13","956,72","933,50","-","1,67%"
"19.07.1981","936,74","954,81","954,81","918,66","-","-2,31%"
"12.07.1981","958,90","955,67","964,80","941,50","-","0,34%"
"05.07.1981","955,67","957,95","963,38","941,97","-","-0,37%"
"28.06.1981","959,19","992,88","996,39","954,72","-","-3,39%"
"21.06.1981","992,87","996,19","1.008,94","988,48","-","-0,33%"
"14.06.1981","996,19","1.006,84","1.023,02","988,77","-","-1,00%"
"07.06.1981","1.006,28","993,80","1.017,22","985,91","-","1,26%"
"31.05.1981","993,79","991,75","1.010,48","976,81","-","0,21%"
"24.05.1981","991,75","971,72","1.003,16","965,69","-","2,06%"
"17.05.1981","971,72","985,95","994,42","966,59","-","-1,44%"
"10.05.1981","985,95","976,41","990,09","956,69","-","0,98%"
"03.05.1981","976,40","985,41","985,41","964,52","-","-1,93%"
"26.04.1981","995,59","1.020,34","1.030,98","987,13","-","-2,43%"
"19.04.1981","1.020,35","1.005,58","1.024,69","995,14","-","1,47%"
"12.04.1981","1.005,58","1.000,27","1.012,80","981,81","-","0,53%"
"05.04.1981","1.000,27","1.004,59","1.009,02","984,88","-","-0,68%"
"29.03.1981","1.007,11","994,78","1.020,63","987,20","-","1,24%"
"22.03.1981","994,78","992,80","1.021,81","988,56","-","0,20%"
"15.03.1981","992,80","985,77","1.011,08","979,38","-","0,71%"
