"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 27, 2022","33,614.67","33,635.29","34,178.47","33,114.23","-","-1.30%"
"Feb 20, 2022","34,058.55","33,870.47","34,092.00","32,284.35","-","-0.06%"
"Feb 13, 2022","34,079.12","34,679.11","35,047.41","33,977.43","-","-1.90%"
"Feb 06, 2022","34,737.47","35,108.38","35,824.28","34,621.55","1.00B","-1.00%"
"Jan 30, 2022","35,089.74","34,691.17","35,679.20","34,496.10","1.97B","1.05%"
"Jan 23, 2022","34,725.47","34,070.61","34,815.67","33,150.33","2.85B","1.34%"
"Jan 16, 2022","34,265.37","35,661.76","35,661.76","34,229.55","1.71B","-4.58%"
"Jan 09, 2022","35,911.81","36,175.21","36,513.88","35,639.91","1.87B","-0.88%"
"Jan 02, 2022","36,231.66","36,321.59","36,952.65","36,111.53","2.00B","-0.29%"
