"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 05, 1981","493.50","533.75","493.50","493.50","-5.64%"
"Mar 29, 1981","523.00","526.50","523.00","523.00","-2.92%"
"Mar 22, 1981","538.75","526.00","538.75","538.75","4.26%"
"Mar 15, 1981","516.75","499.75","516.75","516.75","5.03%"
"Mar 08, 1981","492.00","475.25","492.00","492.00","5.35%"
"Mar 01, 1981","467.00","465.50","467.00","467.00","-4.50%"
"Feb 22, 1981","489.00","501.50","489.00","489.00","-4.40%"
"Feb 15, 1981","511.50","491.50","511.50","511.50","4.07%"
"Feb 08, 1981","491.50","512.50","491.50","491.50","-1.80%"
"Feb 01, 1981","500.50","493.50","500.50","500.50","-1.18%"
"Jan 25, 1981","506.50","528.50","506.50","506.50","-8.41%"
"Jan 18, 1981","553.00","566.75","553.00","553.00","-1.38%"
"Jan 11, 1981","560.75","562.00","560.75","560.75","-2.94%"
"Jan 04, 1981","577.75","597.50","577.75","577.75","-1.41%"
"Dec 28, 1980","586.00","593.75","586.00","586.00","-2.50%"
"Dec 21, 1980","601.00","594.75","601.00","601.00","4.52%"
"Dec 14, 1980","575.00","579.30","575.00","575.00","2.18%"
"Dec 07, 1980","562.75","617.25","562.75","562.75","-8.79%"
"Nov 30, 1980","617.00","635.30","617.00","617.00","-0.96%"
"Nov 23, 1980","623.00","631.00","623.00","623.00","-1.85%"
"Nov 16, 1980","634.75","611.75","634.75","634.75","3.63%"
"Nov 09, 1980","612.50","612.80","612.50","612.50","2.77%"
"Nov 02, 1980","596.00","640.50","596.00","596.00","-5.25%"
"Oct 26, 1980","629.00","637.25","629.00","629.00","-0.63%"
"Oct 19, 1980","633.00","657.00","633.00","633.00","-5.59%"
"Oct 12, 1980","670.50","685.25","670.50","670.50","-2.15%"
"Oct 05, 1980","685.25","675.80","685.25","685.25","3.75%"
"Sep 28, 1980","660.50","679.25","660.50","660.50","-5.41%"
"Sep 21, 1980","698.25","710.00","698.25","698.25","3.60%"
"Sep 14, 1980","674.00","666.50","674.00","674.00","-1.68%"
"Sep 07, 1980","685.50","672.00","685.50","685.50","5.30%"
"Aug 31, 1980","651.00","631.25","651.00","651.00","3.13%"
"Aug 24, 1980","631.25","634.75","631.25","631.25","-1.24%"
"Aug 17, 1980","639.20","612.50","639.20","639.20","2.35%"
"Aug 10, 1980","624.50","617.00","624.50","624.50","-0.87%"
"Aug 03, 1980","630.00","630.75","630.00","630.00","1.29%"
"Jul 27, 1980","622.00","643.50","622.00","622.00","-4.56%"
"Jul 20, 1980","651.75","617.50","651.75","651.75","7.55%"
"Jul 13, 1980","606.00","650.00","606.00","606.00","-9.10%"
"Jul 06, 1980","666.70","667.50","666.70","666.70","0.48%"
"Jun 29, 1980","663.50","653.50","663.50","663.50","4.08%"
"Jun 22, 1980","637.50","602.50","637.50","637.50","5.81%"
"Jun 15, 1980","602.50","590.00","602.50","602.50","-0.97%"
"Jun 08, 1980","608.40","623.75","608.40","608.40","4.58%"
"Jun 01, 1980","581.75","561.50","581.75","581.75","8.64%"
"May 25, 1980","535.50","511.25","535.50","535.50","4.74%"
"May 18, 1980","511.25","514.25","511.25","511.25","-1.02%"
"May 11, 1980","516.50","513.25","516.50","516.50","1.62%"
"May 04, 1980","508.25","515.00","508.25","508.25","-0.83%"
"Apr 27, 1980","512.50","524.25","512.50","512.50","-7.07%"
"Apr 20, 1980","551.50","506.00","551.50","551.50","6.96%"
"Apr 13, 1980","515.60","529.75","515.60","515.60","-2.81%"
"Apr 06, 1980","530.50","485.75","530.50","530.50","9.21%"
"Mar 30, 1980","485.75","495.00","485.75","485.75","-0.87%"
"Mar 23, 1980","490.00","558.25","490.00","490.00","-12.66%"
"Mar 16, 1980","561.00","484.00","561.00","561.00","7.27%"
"Mar 09, 1980","523.00","585.00","523.00","523.00","-14.12%"
"Mar 02, 1980","609.00","663.75","609.00","609.00","-4.40%"
"Feb 24, 1980","637.00","616.50","637.00","637.00","1.11%"
