"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 06, 2022","1,972.80","1,981.60","2,002.64","1,961.15","0.22%"
"Feb 27, 2022","1,968.45","1,920.86","1,970.80","1,890.59","4.29%"
"Feb 20, 2022","1,887.56","1,900.40","1,974.48","1,879.05","-0.54%"
"Feb 13, 2022","1,897.87","1,861.55","1,902.84","1,844.27","2.04%"
"Feb 06, 2022","1,859.96","1,806.99","1,865.63","1,806.94","2.90%"
"Jan 30, 2022","1,807.49","1,791.19","1,815.44","1,785.03","0.92%"
"Jan 23, 2022","1,791.03","1,834.49","1,853.98","1,779.88","-2.30%"
"Jan 16, 2022","1,833.24","1,817.90","1,848.36","1,805.53","0.88%"
"Jan 09, 2022","1,817.22","1,795.41","1,829.66","1,790.43","1.20%"
"Jan 02, 2022","1,795.63","1,830.14","1,832.06","1,782.63","-1.79%"
