"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 02, 2003","369.90","368.25","369.90","369.90","0.39%"
"Jan 26, 2003","368.48","368.88","368.48","368.48","-0.04%"
"Jan 19, 2003","368.62","356.38","368.62","368.62","3.41%"
"Jan 12, 2003","356.48","353.38","356.48","356.48","0.51%"
"Jan 05, 2003","354.68","350.88","354.68","354.68","0.99%"
"Dec 29, 2002","351.20","349.30","351.20","351.20","0.57%"
"Dec 22, 2002","349.20","340.30","349.20","349.20","2.49%"
"Dec 15, 2002","340.70","332.85","340.70","340.70","2.27%"
"Dec 08, 2002","333.15","326.45","333.15","333.15","2.11%"
"Dec 01, 2002","326.25","318.85","326.25","326.25","2.26%"
"Nov 24, 2002","319.05","320.25","319.05","319.05","-0.62%"
"Nov 17, 2002","321.05","320.25","321.05","321.05","0.16%"
"Nov 10, 2002","320.55","321.50","320.55","320.55","-0.31%"
"Nov 03, 2002","321.55","318.75","321.55","321.55","0.41%"
"Oct 27, 2002","320.25","313.35","320.25","320.25","2.04%"
"Oct 20, 2002","313.85","312.85","313.85","313.85","0.32%"
"Oct 13, 2002","312.85","317.65","312.85","312.85","-1.23%"
"Oct 06, 2002","316.75","322.75","316.75","316.75","-1.71%"
"Sep 29, 2002","322.25","320.90","322.25","322.25","0.72%"
"Sep 22, 2002","319.95","322.75","319.95","319.95","-0.68%"
"Sep 15, 2002","322.15","316.10","322.15","322.15","1.67%"
"Sep 08, 2002","316.85","320.05","316.85","316.85","-1.06%"
"Sep 01, 2002","320.25","312.65","320.25","320.25","2.40%"
"Aug 25, 2002","312.75","307.35","312.75","312.75","1.87%"
"Aug 18, 2002","307.00","313.75","307.00","307.00","-2.23%"
"Aug 11, 2002","314.00","313.55","314.00","314.00","-0.19%"
"Aug 04, 2002","314.60","307.00","314.60","314.60","2.34%"
"Jul 28, 2002","307.40","303.75","307.40","307.40","1.20%"
"Jul 21, 2002","303.75","324.75","303.75","303.75","-6.24%"
"Jul 14, 2002","323.95","316.25","323.95","323.95","2.52%"
"Jul 07, 2002","316.00","310.25","316.00","316.00","1.44%"
"Jun 30, 2002","311.50","314.00","311.50","311.50","-0.99%"
"Jun 23, 2002","314.62","325.12","314.62","314.62","-3.09%"
"Jun 16, 2002","324.65","319.25","324.65","324.65","1.64%"
"Jun 09, 2002","319.40","323.55","319.40","319.40","-1.42%"
"Jun 02, 2002","324.00","326.55","324.00","324.00","-0.78%"
"May 26, 2002","326.55","320.95","326.55","326.55","1.86%"
