"Date","Price","Open","High","Low","Vol.","Change %"
"02.03.2003","986,82","1.015,87","1.023,47","964,25","-","-2,27%"
"23.02.2003","1.009,74","1.009,14","1.013,34","969,56","-","-0,61%"
"16.02.2003","1.015,92","990,21","1.019,25","986,73","-","3,44%"
"09.02.2003","982,09","961,69","989,32","938,52","-","2,62%"
"02.02.2003","957,05","987,37","999,16","951,67","-","-2,64%"
"26.01.2003","983,05","985,08","1.022,98","968,34","-","-1,32%"
"19.01.2003","996,18","1.022,94","1.039,16","992,85","-","-2,10%"
"12.01.2003","1.017,58","1.101,24","1.104,32","1.017,53","-","-6,42%"
"05.01.2003","1.087,36","1.034,02","1.096,45","1.034,02","-","5,40%"
"29.12.2002","1.031,63","999,39","1.033,37","977,59","-","3,39%"
"22.12.2002","997,85","1.012,46","1.041,49","996,10","-","-1,55%"
"15.12.2002","1.013,51","1.011,89","1.052,59","999,80","-","0,76%"
"08.12.2002","1.005,85","1.054,87","1.055,36","1.005,85","-","-5,64%"
"01.12.2002","1.065,97","1.144,21","1.155,68","1.035,55","-","-4,49%"
"24.11.2002","1.116,10","1.118,01","1.134,60","1.083,86","-","0,01%"
"17.11.2002","1.116,01","1.073,89","1.122,51","1.019,07","-","5,16%"
"10.11.2002","1.061,28","1.004,41","1.062,86","972,34","-","5,24%"
"03.11.2002","1.008,44","1.049,49","1.070,51","1.004,04","-","-1,04%"
"27.10.2002","1.019,06","1.007,72","1.020,59","941,17","-","2,36%"
"20.10.2002","995,55","945,86","998,54","937,55","-","4,12%"
"13.10.2002","956,13","878,75","957,16","876,21","-","7,36%"
"06.10.2002","890,61","813,06","899,46","795,25","-","9,22%"
"29.09.2002","815,40","848,72","882,77","809,94","-","-5,22%"
"22.09.2002","860,35","860,99","897,45","830,21","-","-1,29%"
"15.09.2002","871,60","919,10","932,91","864,13","-","-5,65%"
"08.09.2002","923,83","913,68","978,46","901,13","-","0,17%"
"01.09.2002","922,22","928,50","932,96","882,85","-","-2,14%"
"25.08.2002","942,38","1.017,62","1.021,66","926,61","-","-6,74%"
"18.08.2002","1.010,49","997,39","1.052,49","993,46","-","1,45%"
"11.08.2002","996,06","925,68","1.004,22","904,47","-","6,27%"
"04.08.2002","937,33","889,49","953,38","856,35","-","5,02%"
"28.07.2002","892,51","935,05","992,34","878,48","-","-2,02%"
"21.07.2002","910,91","958,34","980,64","869,17","-","-5,65%"
"14.07.2002","965,45","990,98","1.060,77","955,29","-","-3,53%"
"07.07.2002","1.000,82","1.051,27","1.066,28","945,85","-","-5,66%"
"30.06.2002","1.060,89","1.044,48","1.061,05","950,33","-","0,90%"
"23.06.2002","1.051,41","1.023,06","1.075,63","979,87","-","1,52%"
"16.06.2002","1.035,63","1.126,54","1.163,46","1.031,95","-","-6,67%"
"09.06.2002","1.109,60","1.142,51","1.155,76","1.055,57","-","-2,69%"
"02.06.2002","1.140,24","1.205,20","1.213,18","1.106,61","-","-5,64%"
"26.05.2002","1.208,34","1.264,13","1.264,86","1.202,24","-","-3,57%"
"19.05.2002","1.253,03","1.309,83","1.313,26","1.233,78","-","-5,49%"
"12.05.2002","1.325,80","1.200,69","1.350,54","1.192,90","-","11,53%"
"05.05.2002","1.188,78","1.191,53","1.282,44","1.142,25","-","-0,16%"
"28.04.2002","1.190,74","1.256,58","1.292,19","1.185,79","-","-4,81%"
"21.04.2002","1.250,89","1.365,34","1.365,34","1.250,82","-","-9,68%"
"14.04.2002","1.385,01","1.358,76","1.426,01","1.336,42","-","2,45%"
"07.04.2002","1.351,85","1.346,77","1.405,10","1.322,25","-","-1,81%"
"31.03.2002","1.376,72","1.440,38","1.481,74","1.375,63","-","-5,24%"
"24.03.2002","1.452,81","1.473,62","1.481,97","1.423,03","-","-1,18%"
"17.03.2002","1.470,10","1.511,83","1.523,27","1.443,17","-","-1,69%"
"10.03.2002","1.495,41","1.542,09","1.573,42","1.470,49","-","-3,84%"
"03.03.2002","1.555,11","1.434,69","1.562,97","1.422,22","-","8,34%"
"24.02.2002","1.435,41","1.366,44","1.435,81","1.356,04","-","5,84%"
"17.02.2002","1.356,16","1.421,07","1.424,04","1.329,93","-","-5,61%"
"10.02.2002","1.436,70","1.451,13","1.508,25","1.432,96","-","-1,07%"
"03.02.2002","1.452,17","1.526,32","1.528,30","1.405,79","-","-4,97%"
"27.01.2002","1.528,15","1.573,39","1.582,65","1.481,46","-","-1,93%"
"20.01.2002","1.558,26","1.567,59","1.586,34","1.500,89","-","0,65%"
"13.01.2002","1.548,22","1.624,91","1.633,12","1.537,99","-","-5,26%"
"06.01.2002","1.634,17","1.691,36","1.710,23","1.627,42","-","-2,44%"
"30.12.2001","1.675,03","1.617,35","1.698,46","1.565,08","-","3,32%"
"23.12.2001","1.621,13","1.581,16","1.637,57","1.575,01","-","2,72%"
"16.12.2001","1.578,27","1.607,08","1.665,39","1.557,18","-","-1,71%"
"09.12.2001","1.605,67","1.658,47","1.695,15","1.590,71","-","-4,08%"
"02.12.2001","1.673,90","1.576,26","1.734,58","1.562,73","-","4,88%"
"25.11.2001","1.596,05","1.590,05","1.644,38","1.557,03","-","1,18%"
"18.11.2001","1.577,47","1.597,80","1.618,19","1.526,08","-","-0,30%"
"11.11.2001","1.582,14","1.511,77","1.614,77","1.463,12","-","4,43%"
"04.11.2001","1.514,96","1.453,94","1.580,59","1.453,75","-","6,25%"
"28.10.2001","1.425,78","1.445,64","1.450,68","1.320,48","-","-2,00%"
"21.10.2001","1.454,90","1.340,96","1.487,40","1.333,62","-","7,96%"
"14.10.2001","1.347,59","1.370,20","1.440,63","1.302,53","-","-3,32%"
"07.10.2001","1.393,84","1.249,32","1.396,29","1.235,42","-","9,60%"
"30.09.2001","1.271,73","1.161,74","1.313,64","1.131,32","-","8,85%"
"23.09.2001","1.168,37","1.166,72","1.255,94","1.101,39","-","3,68%"
"16.09.2001","1.126,95","1.277,12","1.310,23","1.088,96","-","-17,46%"
"09.09.2001","1.365,39","1.342,08","1.375,60","1.339,41","-","0,82%"
"02.09.2001","1.354,27","1.466,32","1.502,67","1.339,89","-","-7,85%"
"26.08.2001","1.469,70","1.576,16","1.601,97","1.438,91","-","-6,96%"
"19.08.2001","1.579,62","1.518,19","1.579,68","1.467,58","-","4,16%"
"12.08.2001","1.516,58","1.627,34","1.672,07","1.514,00","-","-6,24%"
"05.08.2001","1.617,45","1.705,88","1.718,59","1.576,07","-","-6,28%"
"29.07.2001","1.725,90","1.689,21","1.766,58","1.662,67","-","2,54%"
"22.07.2001","1.683,18","1.695,20","1.699,44","1.580,57","-","0,40%"
"15.07.2001","1.676,46","1.743,09","1.758,93","1.652,00","-","-4,26%"
"08.07.2001","1.751,11","1.680,88","1.782,52","1.600,19","-","4,95%"
"01.07.2001","1.668,59","1.831,42","1.864,20","1.666,62","-","-8,83%"
"24.06.2001","1.830,19","1.752,71","1.865,36","1.705,93","-","5,95%"
"17.06.2001","1.727,47","1.712,04","1.774,25","1.655,26","-","1,52%"
"10.06.2001","1.701,53","1.885,17","1.885,17","1.657,65","-","-10,27%"
"03.06.2001","1.896,22","1.861,12","1.963,83","1.819,08","-","3,01%"
"27.05.2001","1.840,83","1.946,57","1.946,57","1.768,98","-","-6,12%"
"20.05.2001","1.960,74","1.931,29","2.070,61","1.927,04","-","1,71%"
"13.05.2001","1.927,69","1.819,39","1.955,77","1.768,62","-","5,85%"
"06.05.2001","1.821,20","1.924,68","1.948,02","1.810,89","-","-5,33%"
"29.04.2001","1.923,81","1.855,90","1.980,13","1.810,86","-","6,26%"
"22.04.2001","1.810,47","1.881,52","1.881,54","1.743,45","-","-6,37%"
"15.04.2001","1.933,57","1.682,17","1.981,90","1.603,99","-","12,79%"
"08.04.2001","1.714,29","1.472,81","1.714,69","1.437,85","-","18,38%"
"01.04.2001","1.448,16","1.569,66","1.594,36","1.348,52","-","-7,95%"
"25.03.2001","1.573,25","1.735,53","1.751,14","1.530,14","-","-7,73%"
"18.03.2001","1.705,02","1.659,70","1.754,65","1.582,48","-","3,49%"
"11.03.2001","1.647,51","1.758,06","1.813,68","1.627,80","-","-9,13%"
"04.03.2001","1.813,02","1.908,62","2.029,01","1.802,91","-","-3,63%"
"25.02.2001","1.881,34","2.088,03","2.103,63","1.837,85","-","-8,50%"
"18.02.2001","2.056,06","2.229,91","2.235,74","1.935,21","-","-7,07%"
"11.02.2001","2.212,51","2.247,20","2.423,65","2.173,42","-","-2,18%"
"04.02.2001","2.261,77","2.447,72","2.531,05","2.247,52","-","-8,51%"
"28.01.2001","2.472,18","2.601,67","2.718,51","2.471,51","-","-6,06%"
"21.01.2001","2.631,78","2.639,61","2.771,63","2.526,55","-","-0,90%"
"14.01.2001","2.655,68","2.502,66","2.740,76","2.432,87","-","5,97%"
"07.01.2001","2.506,05","2.245,44","2.591,55","2.151,16","-","10,50%"
"31.12.2000","2.267,85","2.341,28","2.547,04","2.087,32","-","-3,15%"
"24.12.2000","2.341,70","2.435,51","2.505,65","2.328,86","-","-3,88%"
"17.12.2000","2.436,26","2.604,08","2.639,00","2.174,76","-","-4,44%"
"10.12.2000","2.549,48","2.900,28","2.990,83","2.511,35","-","-11,95%"
"03.12.2000","2.895,39","2.572,88","2.914,97","2.475,63","-","13,56%"
"26.11.2000","2.549,74","2.910,57","2.913,76","2.426,41","-","-9,91%"
"19.11.2000","2.830,09","2.838,29","2.885,31","2.667,11","-","-3,57%"
"12.11.2000","2.934,81","2.798,95","3.128,37","2.742,47","-","1,54%"
"05.11.2000","2.890,26","3.346,15","3.369,47","2.890,02","-","-12,99%"
"29.10.2000","3.321,91","3.128,94","3.359,99","3.038,41","-","4,62%"
"22.10.2000","3.175,25","3.451,40","3.498,04","2.956,20","-","-8,14%"
"15.10.2000","3.456,61","3.265,96","3.514,96","2.982,04","-","5,46%"
"08.10.2000","3.277,77","3.306,75","3.359,93","2.990,99","-","-1,03%"
"01.10.2000","3.311,94","3.613,74","3.613,86","3.262,80","-","-7,24%"
"24.09.2000","3.570,61","3.753,31","3.774,78","3.533,67","-","-3,53%"
"17.09.2000","3.701,18","3.676,33","3.810,30","3.505,18","-","0,68%"
"10.09.2000","3.676,33","3.813,44","3.852,45","3.610,65","-","-3,60%"
"03.09.2000","3.813,44","4.085,89","4.085,89","3.811,60","-","-6,97%"
"27.08.2000","4.099,30","3.933,33","4.147,19","3.921,49","-","4,27%"
"20.08.2000","3.931,25","3.809,86","3.986,73","3.760,12","-","3,25%"
"13.08.2000","3.807,51","3.644,63","3.868,74","3.616,71","-","4,47%"
"06.08.2000","3.644,61","3.618,63","3.780,43","3.521,53","-","0,72%"
"30.07.2000","3.618,63","3.477,53","3.715,57","3.341,83","-","4,06%"
