"Date","Price","Open","High","Low","Vol.","Change %"
"26.12.2021","17.164,1","16.963,4","17.238,7","16.963,4","-","1,18%"
"19.12.2021","16.963,4","16.668,6","17.011,5","16.310,6","-","1,77%"
"12.12.2021","16.668,6","16.856,6","16.985,1","16.567,2","-","-1,12%"
"05.12.2021","16.856,6","16.347,9","16.923,7","16.347,9","-","3,11%"
"28.11.2021","16.347,9","16.624,9","16.794,6","16.133,2","-","-1,67%"
"21.11.2021","16.624,9","16.974,0","17.082,7","16.546,6","-","-2,06%"
"14.11.2021","16.974,0","17.297,7","17.364,3","16.965,8","-","-1,87%"
"07.11.2021","17.297,7","17.242,4","17.341,8","17.145,0","-","0,32%"
"31.10.2021","17.242,4","17.016,4","17.306,2","17.016,4","-","1,33%"
"24.10.2021","17.016,4","17.122,2","17.228,3","16.920,4","-","-0,62%"
"17.10.2021","17.122,2","16.871,7","17.157,4","16.776,6","-","1,48%"
"10.10.2021","16.871,7","16.517,2","16.914,7","16.359,3","-","2,15%"
"03.10.2021","16.517,2","16.323,7","16.601,7","16.096,8","-","1,19%"
"26.09.2021","16.323,7","16.539,2","16.658,5","16.094,5","-","-1,30%"
"19.09.2021","16.539,2","16.460,3","16.627,0","15.988,0","-","0,48%"
"12.09.2021","16.460,3","16.563,5","16.689,1","16.442,4","-","-0,62%"
"05.09.2021","16.563,5","16.909,7","16.909,7","16.562,6","-","-2,05%"
"29.08.2021","16.909,7","16.844,8","16.944,5","16.783,1","-","0,39%"
"22.08.2021","16.844,8","16.516,7","16.858,4","16.516,7","-","1,99%"
"15.08.2021","16.516,7","16.868,1","16.868,1","16.345,4","-","-2,08%"
"08.08.2021","16.868,1","16.748,1","16.887,3","16.678,6","-","0,72%"
"01.08.2021","16.748,1","16.602,3","16.775,9","16.509,6","-","0,88%"
"25.07.2021","16.602,3","16.552,4","16.750,7","16.430,5","-","0,30%"
"18.07.2021","16.552,4","16.364,7","16.564,1","15.954,7","-","1,15%"
"11.07.2021","16.364,7","16.633,3","16.681,7","16.345,5","-","-1,62%"
"04.07.2021","16.633,3","16.674,8","16.674,8","16.245,5","-","-0,25%"
"27.06.2021","16.674,8","16.658,8","16.689,4","16.517,0","-","0,10%"
"20.06.2021","16.658,8","16.144,0","16.678,0","16.144,0","-","3,19%"
"13.06.2021","16.144,0","16.694,9","16.694,9","16.142,5","-","-3,30%"
"06.06.2021","16.694,9","16.708,7","16.726,9","16.607,1","-","-0,08%"
"30.05.2021","16.708,7","16.555,7","16.718,7","16.530,2","-","0,92%"
"23.05.2021","16.555,7","16.375,0","16.588,7","16.375,0","-","1,10%"
"16.05.2021","16.375,0","16.415,4","16.475,0","16.040,4","-","-0,25%"
"09.05.2021","16.415,4","16.590,4","16.685,9","16.030,3","-","-1,06%"
"02.05.2021","16.590,4","16.219,3","16.598,0","16.157,0","-","2,29%"
"25.04.2021","16.219,3","16.206,0","16.413,3","16.199,5","-","0,08%"
"18.04.2021","16.206,0","16.186,3","16.246,4","15.887,4","-","0,12%"
"11.04.2021","16.186,3","15.956,4","16.207,1","15.902,2","-","1,44%"
"04.04.2021","15.956,4","15.752,2","15.956,4","15.752,2","-","1,30%"
"28.03.2021","15.752,2","15.682,5","15.752,3","15.522,7","-","0,44%"
"21.03.2021","15.682,5","15.562,3","15.687,2","15.138,7","-","0,77%"
"14.03.2021","15.562,3","15.715,2","15.797,9","15.454,1","-","-0,97%"
"07.03.2021","15.715,2","15.251,8","15.717,8","15.236,9","-","3,04%"
"28.02.2021","15.251,8","15.010,5","15.396,5","14.765,5","-","1,61%"
"21.02.2021","15.010,5","15.362,7","15.566,5","14.944,0","-","-2,29%"
"14.02.2021","15.362,7","15.370,2","15.483,2","15.205,0","-","-0,04%"
"07.02.2021","15.369,6","15.069,6","15.373,8","15.069,6","-","1,99%"
"31.01.2021","15.069,6","14.397,2","15.088,0","14.397,2","-","4,67%"
"24.01.2021","14.397,2","14.951,8","14.995,5","14.328,5","-","-3,71%"
"17.01.2021","14.951,8","14.894,2","15.114,1","14.881,4","-","0,39%"
"10.01.2021","14.894,2","14.966,8","15.129,1","14.791,7","-","-0,49%"
"03.01.2021","14.966,8","14.524,8","15.006,2","14.258,3","-","3,04%"
"27.12.2020","14.524,8","14.382,5","14.533,2","14.371,9","-","0,99%"
"20.12.2020","14.382,5","14.467,8","14.467,8","14.171,8","-","-0,59%"
"13.12.2020","14.467,8","14.355,3","14.529,9","14.214,0","-","0,78%"
"06.12.2020","14.355,3","14.417,3","14.476,7","14.260,9","-","-0,43%"
"29.11.2020","14.417,3","14.198,5","14.417,4","13.977,0","-","1,54%"
"22.11.2020","14.198,5","13.827,0","14.271,1","13.827,0","-","2,69%"
"15.11.2020","13.827,0","13.761,3","14.004,6","13.714,3","-","0,48%"
"08.11.2020","13.761,3","13.218,7","13.930,9","13.218,7","-","4,11%"
"01.11.2020","13.218,7","12.429,3","13.270,5","12.429,3","-","6,35%"
"25.10.2020","12.429,3","13.199,9","13.199,9","12.293,8","-","-5,84%"
"18.10.2020","13.199,9","13.169,3","13.247,8","12.999,4","-","0,23%"
"11.10.2020","13.169,3","13.252,6","13.350,6","12.961,0","-","-0,63%"
"04.10.2020","13.252,6","12.749,8","13.297,0","12.749,8","-","3,94%"
"27.09.2020","12.749,8","12.485,4","12.803,5","12.485,4","-","2,12%"
"20.09.2020","12.485,4","12.617,5","12.833,6","12.229,0","-","-2,71%"
"13.09.2020","12.833,6","12.868,3","13.128,7","12.779,4","-","0,47%"
"06.09.2020","12.773,0","12.777,5","12.969,5","12.659,2","-","-1,12%"
"30.08.2020","12.917,2","13.134,4","13.299,7","12.723,8","-","-1,93%"
"23.08.2020","13.171,0","12.905,0","13.174,0","12.881,4","-","2,83%"
"16.08.2020","12.809,1","12.942,3","12.975,5","12.739,0","-","-0,72%"
"09.08.2020","12.902,5","12.797,8","13.010,9","12.796,2","-","1,07%"
"02.08.2020","12.765,8","12.513,2","12.766,0","12.470,9","-","2,41%"
"26.07.2020","12.465,0","12.481,0","12.688,7","12.320,7","-","0,03%"
"19.07.2020","12.461,8","12.413,2","12.617,2","12.352,7","-","0,48%"
"12.07.2020","12.402,7","12.159,8","12.427,5","11.963,5","-","2,71%"
"05.07.2020","12.075,6","12.181,3","12.218,2","11.831,0","-","0,70%"
"28.06.2020","11.991,5","11.683,1","12.138,8","11.605,5","-","3,34%"
"21.06.2020","11.604,4","11.963,3","12.176,4","11.578,8","-","-3,14%"
"14.06.2020","11.980,1","11.565,8","12.318,8","11.525,4","-","0,95%"
"07.06.2020","11.867,2","12.734,5","12.836,7","11.636,0","-","-6,12%"
"31.05.2020","12.641,4","11.799,9","12.752,1","11.781,9","-","7,10%"
"24.05.2020","11.803,0","11.636,5","11.939,7","11.590,3","-","4,16%"
"17.05.2020","11.332,0","11.282,9","11.477,3","11.247,3","-","3,51%"
"10.05.2020","10.947,3","11.244,3","11.345,4","10.551,5","-","-3,58%"
"03.05.2020","11.354,3","10.965,8","11.360,1","10.900,4","-","2,67%"
"26.04.2020","11.058,6","11.106,0","11.675,3","11.011,5","-","0,37%"
"19.04.2020","11.017,9","11.016,9","11.181,8","10.667,3","-","-1,70%"
"12.04.2020","11.208,3","11.136,6","11.241,2","10.718,1","-","0,64%"
"05.04.2020","11.136,6","10.264,1","11.272,5","10.233,0","-","12,71%"
"29.03.2020","9.880,6","10.238,1","10.499,8","9.766,8","-","-3,01%"
"22.03.2020","10.187,2","9.014,6","10.556,9","8.664,9","-","11,54%"
"15.03.2020","9.133,2","10.852,0","10.852,0","8.953,6","-","-15,84%"
"08.03.2020","10.852,0","11.748,6","11.794,0","10.054,5","-","-12,14%"
"01.03.2020","12.352,0","12.441,4","13.015,7","12.106,7","-","-0,23%"
"23.02.2020","12.381,0","13.654,0","13.654,0","12.024,5","-","-11,41%"
"16.02.2020","13.975,8","14.047,9","14.116,0","13.931,1","-","-0,86%"
"09.02.2020","14.097,3","13.904,0","14.148,2","13.899,5","-","1,19%"
"02.02.2020","13.931,9","13.655,9","14.069,3","13.655,9","-","2,33%"
"26.01.2020","13.614,1","13.746,6","13.922,4","13.573,0","-","-2,61%"
"19.01.2020","13.978,5","14.126,1","14.168,2","13.920,6","-","-1,44%"
"12.01.2020","14.183,2","13.980,5","14.183,3","13.963,9","-","1,61%"
"05.01.2020","13.958,0","13.856,7","14.021,7","13.852,7","-","0,29%"
"29.12.2019","13.917,0","13.951,3","14.003,4","13.844,0","-","-0,19%"
"22.12.2019","13.944,1","13.906,9","13.978,6","13.885,6","-","0,40%"
"15.12.2019","13.889,3","13.781,7","13.914,3","13.781,7","-","1,40%"
"08.12.2019","13.697,3","13.570,5","13.773,1","13.521,2","-","0,80%"
"01.12.2019","13.588,3","13.554,3","13.612,1","13.280,0","-","0,32%"
"24.11.2019","13.545,2","13.471,5","13.611,5","13.471,5","-","0,78%"
"17.11.2019","13.441,0","13.488,5","13.508,9","13.360,7","-","-0,39%"
"10.11.2019","13.493,0","13.347,3","13.493,0","13.325,5","-","0,64%"
"03.11.2019","13.407,8","13.321,2","13.437,0","13.319,8","-","0,81%"
"27.10.2019","13.300,3","13.183,9","13.300,3","13.116,6","-","1,17%"
"20.10.2019","13.146,2","13.019,3","13.170,7","13.019,3","-","1,07%"
"13.10.2019","13.006,6","12.923,5","13.078,1","12.884,0","-","0,62%"
"06.10.2019","12.926,9","12.816,2","13.025,3","12.589,8","-","0,74%"
"29.09.2019","12.831,5","12.988,9","13.038,1","12.482,0","-","-1,08%"
"22.09.2019","12.972,0","13.084,8","13.128,0","12.913,4","-","-0,93%"
"15.09.2019","13.093,8","13.134,0","13.177,9","13.024,9","-","-0,23%"
"08.09.2019","13.124,3","12.975,0","13.171,5","12.900,8","-","1,48%"
"01.09.2019","12.933,4","12.720,2","12.963,6","12.600,7","-","1,54%"
"25.08.2019","12.736,9","12.430,7","12.785,4","12.426,1","-","2,58%"
"18.08.2019","12.416,5","12.687,8","12.750,3","12.370,1","-","-1,30%"
"11.08.2019","12.580,4","12.688,8","12.789,1","12.325,9","-","-1,32%"
"04.08.2019","12.748,4","12.839,5","12.839,5","12.408,3","-","-0,71%"
